gre_score,toefl_score,univ_ranking,motiv_letter_strength,recommendation_strength,gpa,research_exp,admit_status,gender,education,id_student,final_score
337,118,4,4.5,4.5,9.65,yes,1,male,bachelor,STD1000,960
324,107,4,4,4.5,8.87,yes,1,female,master,STD1001,887
316,104,3,3,3.5,8,yes,1,male,bachelor,STD1002,780
322,110,3,3.5,2.5,8.67,yes,1,female,master,STD1003,851
314,103,2,2,3,8.21,no,0,male,bachelor,STD1004,473
330,115,5,4.5,3,9.34,yes,1,male,master,STD1005,908
321,109,3,3,4,8.2,yes,1,male,bachelor,STD1006,819
308,101,2,3,4,7.9,no,0,female,bachelor,STD1007,487
302,102,1,2,1.5,8,no,0,male,bachelor,STD1008,402
328,108,4,4.5,4,9.18,yes,1,female,bachelor,STD1501,889
325,106,3,3.5,4,8.4,yes,0,male,master,STD1010,618
327,111,4,4,4.5,9,yes,1,female,master,STD1011,908
328,112,4,4,4.5,9.1,yes,1,female,master,STD1012,917
307,109,3,4,3,8,yes,0,male,bachelor,STD1013,504
311,104,3,3.5,2,8.2,yes,0,female,master,STD1014,503
314,105,3,3.5,2.5,8.3,no,0,female,bachelor,STD1015,500
317,107,3,4,3,8.7,no,0,female,bachelor,STD1016,571
319,106,3,4,3,8,yes,0,female,bachelor,STD1350,531
318,110,3,4,3,8.8,no,0,male,master,STD1018,626
303,102,3,3.5,3,8.5,no,0,female,bachelor,STD1019,480
312,107,3,3,2,7.9,yes,0,male,bachelor,STD1020,448
325,114,4,3,2,8.4,no,0,male,master,STD1021,558
328,116,5,5,5,9.5,yes,1,male,master,STD1022,958
334,119,5,5,4.5,9.7,yes,1,male,master,STD1023,978
336,119,5,4,3.5,9.8,yes,1,female,bachelor,STD1024,924
340,120,5,4.5,4.5,9.6,yes,1,male,master,STD1025,978
322,109,5,4.5,3.5,8.8,no,1,female,master,STD1026,864
298,98,2,1.5,2.5,7.5,yes,0,male,master,STD1027,367
295,93,1,2,2,7.2,no,0,female,master,STD1028,346
310,99,2,1.5,2,7.3,no,0,female,bachelor,STD1029,348
300,97,2,3,3,8.1,yes,0,female,master,STD1030,468
327,103,3,4,4,8.3,yes,1,male,bachelor,STD1031,843
338,118,4,3,4.5,9.4,yes,1,male,bachelor,STD1032,920
340,114,5,4,4,9.6,yes,1,female,bachelor,STD1033,921
331,112,5,4,5,9.8,no,1,female,master,STD1034,945
320,110,5,5,5,9.2,yes,1,male,bachelor,STD1035,892
299,106,2,4,4,8.4,no,0,male,bachelor,STD1036,540
300,105,,1,2,7.8,no,0,male,bachelor,STD1037,300
304,105,1,3,1.5,7.5,no,0,female,master,STD1038,456
307,108,2,4,3.5,7.7,no,0,male,bachelor,STD1039,517
308,110,3,3.5,3,8,yes,0,female,master,STD1040,530
316,105,2,2.5,2.5,8.2,yes,0,male,master,STD1041,524
313,107,2,,2,8.5,yes,0,female,master,STD1042,300
332,117,4,4.5,4,9.1,no,1,female,bachelor,STD1043,916
326,113,5,4.5,4,9.4,yes,1,female,master,STD1044,915
322,110,5,5,4,9.1,yes,1,female,bachelor,STD1045,875
329,114,5,4,5,9.3,yes,1,female,bachelor,STD1046,903
339,119,5,4.5,4,9.7,no,1,male,bachelor,STD1047,946
321,110,3,3.5,5,8.85,yes,1,female,bachelor,STD1048,876
327,111,4,3,4,8.4,yes,1,male,bachelor,STD1049,830
313,98,3,2.5,4.5,8.3,yes,1,female,master,STD1050,801
312,100,2,1.5,3.5,7.9,yes,0,female,bachelor,STD1051,434
334,116,4,4,3,8,no,1,female,bachelor,STD1052,845
324,112,4,4,2.5,8.1,yes,1,female,bachelor,STD1053,810
322,110,3,3,3.5,8,no,0,male,bachelor,STD1054,535
320,103,3,3,3,7.7,no,0,female,bachelor,STD1055,472
316,102,3,2,3,7.4,no,0,female,bachelor,STD1056,405
298,99,2,4,2,7.6,no,0,male,master,STD1057,445
300,99,1,3,2,6.8,yes,0,female,master,STD1058,392
311,104,2,2,2,8.3,no,0,female,master,STD1059,482
309,100,2,3,3,8.1,no,0,female,bachelor,STD1060,472
307,101,3,4,3,8.2,no,0,female,bachelor,STD1061,487
304,105,2,3,3,8.2,yes,0,female,master,STD1062,516
315,107,2,4,3,8.5,yes,0,male,bachelor,STD1063,574
325,111,3,3,3.5,8.7,no,0,male,master,STD1064,626
325,112,4,3.5,3.5,8.92,no,0,male,master,STD1065,638
327,114,3,3,3,9.02,no,0,male,master,STD1066,650
316,107,2,3.5,3.5,8.64,yes,0,male,bachelor,STD1067,583
318,109,3,3.5,4,9.22,yes,0,female,bachelor,STD1068,623
328,115,4,4.5,4,9.16,yes,1,male,bachelor,STD1069,906
332,118,5,5,5,9.64,yes,1,male,bachelor,STD1070,954
336,112,5,5,5,9.76,yes,1,female,master,STD1071,976
321,111,5,5,,9.45,yes,1,female,bachelor,STD1072,651
314,108,4,4.5,4,9.04,yes,1,female,master,STD1073,877
314,106,3,3,5,8.9,no,1,male,master,STD1074,866
329,114,2,2,4,8.56,yes,1,male,bachelor,STD1075,856
327,112,3,3,3,8.72,yes,1,male,master,STD1076,866
301,99,,3,2,8.22,no,0,female,master,STD1077,300
296,95,2,3,2,7.54,yes,0,female,bachelor,STD1078,353
,93,1,1.5,2,7.36,no,0,female,bachelor,STD1079,300
312,105,3,2,3,8.02,yes,0,male,bachelor,STD1080,441
340,120,4,5,5,9.5,yes,1,female,bachelor,STD1081,985
320,110,5,5,4.5,9.22,yes,1,male,master,STD1082,907
322,115,5,4,4.5,9.36,yes,1,male,bachelor,STD1083,885
340,115,5,4.5,4.5,9.45,yes,1,female,bachelor,STD1084,936
319,103,4,4.5,3.5,8.66,no,1,female,bachelor,STD1085,828
315,106,3,4.5,3.5,8.42,no,1,male,bachelor,STD1086,832
317,107,2,3.5,3,8.28,no,0,female,master,STD1087,585
,108,3,4.5,3.5,8.14,no,0,male,bachelor,STD1088,300
316,109,4,4.5,3.5,8.76,yes,1,male,bachelor,STD1089,841
318,106,2,4,4,7.92,yes,0,male,master,STD1090,605
299,97,3,5,3.5,7.66,no,0,male,master,STD1091,494
298,98,2,4,3,8.03,no,0,male,bachelor,STD1092,459
301,97,2,3,3,7.88,yes,0,female,bachelor,STD1093,423
303,99,3,2,2.5,7.66,no,0,male,master,STD1094,391
304,100,4,1.5,2.5,7.84,no,0,female,bachelor,STD1095,336
306,100,2,3,3,8,no,0,male,bachelor,STD1096,457
331,120,3,4,4,8.96,yes,1,male,bachelor,STD1111,920
332,119,4,5,4.5,9.24,yes,1,female,master,STD1098,969
323,113,3,4,4,8.88,yes,1,female,master,STD1099,905
322,107,3,3.5,3.5,8.46,yes,1,male,bachelor,STD1100,829
312,105,2,2.5,3,8.12,no,0,male,bachelor,STD1101,485
314,106,2,4,3.5,8.25,no,0,female,bachelor,STD1102,565
317,104,2,4.5,4,8.47,no,0,female,bachelor,STD1103,610
326,112,3,3.5,3,9.05,yes,1,male,master,STD1104,888
316,110,3,4,,8.78,yes,0,male,bachelor,STD1105,300
329,111,4,4.5,4.5,9.18,yes,1,female,bachelor,STD1106,907
338,117,4,3.5,4.5,9.46,yes,1,female,master,STD1107,953
331,116,5,5,5,9.38,yes,1,male,master,STD1108,960
304,103,5,5,4,8.64,no,0,female,master,STD1109,562
305,108,5,3,3,8.48,no,0,male,master,STD1110,483
321,109,4,4,4,8.68,yes,0,female,bachelor,STD1111,594
301,107,3,3.5,3.5,8.34,yes,0,male,master,STD1112,530
320,110,2,4,3.5,8.56,no,1,male,bachelor,STD1113,862
311,105,3,3.5,3,8.45,yes,0,male,bachelor,STD1114,513
